LevelType,NPCType,Greeting,Option1,Option2,Option3,Dialog,CorrectDialog,IncorrectDialog
0,0,Hello traveler{c} I need you help. Answer my question correctly and you will receive a treasure.,vulnerable,guilty,depressed,I feel like I am very fragile. What is another word for what I am feeling?,Congratulations! Vulnerable is the correct choice!,Oops{c} if looks like you made the incorrect choice. Please come back and try again.
0,0,This is another test for feling remorseful.,remorseful,,,You should choose remorseful.,Congratulations! Remorseful is the correct choice!,Oops{c} if looks like you made the incorrect choice. Please come back and try again.
0,0,Some other sadness test.,lonely,,,Please{c} choose lonely.,Great Job!,Oops{c} if looks like you made the incorrect choice. Please come back and try again.
0,1,,,,,,,
0,1,,,,,,,
0,1,,,,,,,
0,2,,,,,,,
0,2,,,,,,,
0,2,,,,,,,
1,3,,,,,,,
1,3,,,,,,,
1,3,,,,,,,
1,4,,,,,,,
1,4,,,,,,,
1,4,,,,,,,
1,5,,,,,,,
1,5,,,,,,,
1,5,,,,,,,
